,CODMPIO,AÑO,MUNICIPIO,Hectáreas cultivadas,Valor agregado,Ingreso tributario,Cobertura de acueducto,Cobertura de alcantarillado,IPM,IICA
197,76364,2018,JAMUNDÍ,116.92,2343.368702440299,173257.38,85.34,67.38,14.9,0.1
198,76834,2018,TULUÁ,4.02,3511.7242030955804,276004.47,91.91,91.91,13.7,0.05
199,81065,2018,ARAUQUITA,7.44,985.3242709565664,52490.95,45.27,41.06,49.2,0.5
200,81300,2018,FORTUL,0.0,234.65724420829892,23086.04,61.84,36.27,48.3,0.64
201,81591,2018,PUERTO RONDÓN,0.0,64.7410516861204,11017.57,63.8,63.8,45.0,0.59
202,81736,2018,SARAVENA,0.0,492.3031191035812,52196.78,63.63,59.6,39.4,0.22
203,81794,2018,TAME,0.0,957.0419873781144,57804.8,51.98,48.09,41.9,0.3
204,86001,2018,MOCOA,70.14,677.2217823767049,55387.92,53.21,49.12,24.8,0.12
205,86320,2018,ORITO,3949.26,527.0409491104461,48394.83,44.49,44.49,39.8,0.27
206,86568,2018,PUERTO ASÍS,7657.88,1101.752294140255,82570.58,100.0,100.0,44.1,0.35
207,86569,2018,PUERTO CAICEDO,2905.02,85.41784848109612,20934.83,28.23,28.23,38.9,0.15
208,86757,2018,SAN MIGUEL,3329.07,197.550455924526,23812.89,3.75,35.76,48.5,0.59
209,86760,2018,SANTIAGO,0.0,56.33739030773401,14463.25,100.0,35.71,37.2,0.02
210,86865,2018,VALLE DEL GUAMUEZ,3362.77,224.0573338595208,38792.65,25.93,43.55,41.0,0.19
211,86885,2018,VILLAGARZÓN,2015.26,539.5113304907853,37268.37,40.32,40.32,37.1,0.16
212,94001,2018,INÍRIDA,0.0,273.13286017079184,34868.68,16.8,11.88,67.2,0.02
213,95001,2018,SAN JOSÉ DEL GUAVIARE,1174.63,500.73927997020286,51127.16,75.16,75.16,42.1,0.25
214,95025,2018,EL RETORNO,1545.09,127.33521982384818,25599.74,77.21,52.86,51.5,0.24
215,95200,2018,MIRAFLORES,1378.4,52.56062406594253,12623.16,99.0,99.0,66.7,0.09
216,97001,2018,MITÚ,0.0,215.3921268287704,35122.29,95.52,93.39,74.8,0.03
217,97161,2018,CARURÚ,64.74,21.690211521292813,8987.33,97.13,97.13,81.1,0.08
218,97666,2018,TARAIRA,0.0,12.271427609077117,11084.84,79.42,79.42,85.6,0.01
219,99524,2018,LA PRIMAVERA,0.0,170.96104439436127,19304.37,48.31,0.0,63.2,0.04
220,99624,2018,SANTA ROSALÍA,0.0,43.86221361791616,9054.24,100.0,0.0,56.8,0.32
221,99773,2018,CUMARIBO,549.97,272.8310337005456,49389.64,34.54,8.3,91.4,0.03
222,5031,2018,AMALFI,205.61,742.7540645669222,42929.73,41.79,35.1,43.3,0.04
223,5055,2018,ARGELIA,0.0,74.05459420746615,11060.63,26.45,26.45,48.7,0.03
224,5107,2018,BRICEÑO,289.04,80.10630839565104,25462.16,31.48,31.48,55.4,0.31
225,5120,2018,CÁCERES,1826.23,415.78185655708,37066.8,38.36,48.45,66.4,0.67
226,5134,2018,CAMPAMENTO,204.57,70.59492687141895,14948.48,31.38,21.83,59.3,0.03
227,5142,2018,CARACOLÍ,0.0,49.65821890182526,8705.48,91.16,54.74,35.9,0.03
228,5147,2018,CAREPA,0.0,1072.432790857652,49295.88,57.28,54.13,34.4,0.07
229,5148,2018,EL CARMEN DE VIBORAL,0.0,592.8187611756423,55460.08,81.85,59.71,18.5,0.02
230,5154,2018,CAUCASIA,2.25,1179.323884715168,118656.82,82.23,82.28,36.0,0.23
231,5172,2018,CHIGORODÓ,5.31,880.2669361998255,60298.77,71.41,71.11,37.7,0.08
232,5197,2018,COCORNÁ,0.0,150.93701513786004,21620.26,35.78,30.61,42.9,0.05
233,5234,2018,DABEIBA,0.0,248.8023493252006,29906.38,40.93,40.93,60.5,0.07
234,5310,2018,GÓMEZ PLATA,0.0,319.74201465996083,15904.99,46.8,43.35,34.1,0.03
235,5361,2018,ITUANGO,882.69,234.50283759659837,33079.11,100.0,97.42,57.6,0.85
236,5425,2018,MACEO,0.0,98.46144147609364,15873.62,59.35,36.83,36.0,0.06
237,5475,2018,MURINDÓ,0.0,38.78141363394258,11598.28,0.0,0.0,81.5,0.11
238,5483,2018,NARIÑO,0.0,99.81479282575872,14158.56,29.51,22.39,51.8,0.03
239,5490,2018,NECOCLÍ,0.0,477.802097002128,60980.05,23.1,23.1,62.7,0.03
240,5495,2018,NECHÍ,708.03,258.6639852693745,31091.83,75.69,0.0,61.5,0.08
241,5579,2018,PUERTO BERRÍO,0.0,588.8957445916299,47216.37,88.45,88.45,32.1,0.07
242,5585,2018,PUERTO NARE,0.0,446.8262508687216,26738.5,98.35,88.54,33.1,0.03
243,5591,2018,PUERTO TRIUNFO,0.0,193.9759657508717,21109.65,84.15,83.92,29.3,0.07
244,5628,2018,SABANALARGA,0.0,81.65800724790762,14618.86,57.03,22.09,52.8,0.06
245,5649,2018,SAN CARLOS,0.0,758.8874259288434,39622.31,36.04,36.04,30.5,0.02
246,5652,2018,SAN FRANCISCO,28.75,65.33284419788484,12741.4,33.75,33.75,46.4,0.01
247,5660,2018,SAN LUIS,8.91,114.780162721273,16366.34,25.49,25.49,32.4,0.05
248,5665,2018,SAN PEDRO DE URABÁ,2.66,265.34186018522314,42319.59,25.88,24.66,62.3,0.05
249,5667,2018,SAN RAFAEL,0.0,205.61314026745455,21441.15,34.72,25.91,36.8,0.03
250,5670,2018,SAN ROQUE,0.0,198.1324842191552,24792.37,40.48,40.37,40.8,0.05
251,5686,2018,SANTA ROSA DE OSOS,0.0,1001.24648193997,45406.87,41.22,28.33,30.9,0.04
252,5736,2018,SEGOVIA,306.59,771.7238970004939,56274.12,40.02,10.35,42.8,0.11
253,5756,2018,SONSÓN,0.0,793.9341350644759,48122.52,55.05,48.51,37.9,0.03
254,5790,2018,TARAZÁ,3728.41,289.9523235677753,37585.51,98.23,98.23,53.5,1.11
255,5819,2018,TOLEDO,3.44,73.82613283854351,13832.83,39.73,27.91,53.5,0.39
256,5837,2018,TURBO,56.84,2227.6884955492305,242420.59,33.47,7.59,49.9,0.11
257,5842,2018,URAMITA,0.0,71.8509277123793,13227.9,39.11,39.11,55.6,0.05
258,5847,2018,URRAO,0.0,520.5599092169987,38688.07,93.94,93.94,46.1,0.06
259,5854,2018,VALDIVIA,2623.54,132.9955402588885,24488.42,45.87,21.61,59.3,0.8
260,5858,2018,VEGACHÍ,42.29,129.74587097838406,20129.56,50.4,50.4,41.0,0.16
261,5873,2018,VIGÍA DEL FUERTE,0.0,69.24802172045658,14631.13,0.0,0.0,76.1,0.05
262,5885,2018,YALÍ,58.28,73.5299784381578,11067.56,69.72,47.0,44.0,0.19
263,5887,2018,YARUMAL,87.63,571.9146668707875,45168.93,81.97,71.09,33.8,0.17
264,5890,2018,YOLOMBÓ,23.41,224.9318188564638,28808.08,45.66,24.94,45.0,0.04
265,5893,2018,YONDÓ,6.5,962.284141279334,58600.36,46.68,43.55,46.3,0.17
266,5895,2018,ZARAGOZA,471.23,388.545740208903,36093.59,38.44,38.44,58.0,0.18
