,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría,AÑO,Hectáreas cultivadas
51,5,ANTIOQUIA,5854,VALDIVIA,Cultivo permanente,2001,124.2
52,5,ANTIOQUIA,5858,VEGACHÍ,Cultivo intermintente,2001,66.41
53,5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,Cultivo intermintente,2001,0.0
54,5,ANTIOQUIA,5885,YALÍ,Cultivo intermintente,2001,89.81
55,5,ANTIOQUIA,5887,YARUMAL,Cultivo permanente,2001,2.0
56,5,ANTIOQUIA,5890,YOLOMBÓ,Cultivo intermintente,2001,71.94
57,5,ANTIOQUIA,5893,YONDÓ ,Cultivo intermintente,2001,0.74
58,5,ANTIOQUIA,5895,ZARAGOZA,Cultivo permanente,2001,281.81
59,81,ARAUCA,81065,ARAUQUITA,Cultivo intermintente,2001,1325.09
60,81,ARAUCA,81300,FORTUL,Cultivo abandonado,2001,265.82
61,81,ARAUCA,81591,PUERTO RONDÓN,Cultivo abandonado,2001,43.95
62,81,ARAUCA,81736,SARAVENA,Cultivo abandonado,2001,138.25
63,81,ARAUCA,81794,TAME,Cultivo abandonado,2001,396.23
64,13,BOLÍVAR,13006,ACHÍ,Cultivo permanente,2001,1.0
65,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,Cultivo intermintente,2001,0.0
66,13,BOLÍVAR,13042,ARENAL,Cultivo permanente,2001,53.35
67,13,BOLÍVAR,13074,BARRANCO DE LOBA,Cultivo intermintente,2001,0.0
68,13,BOLÍVAR,13160,CANTAGALLO,Cultivo permanente,2001,1063.4
69,13,BOLÍVAR,13268,EL PEÑÓN,Cultivo abandonado,2001,0.0
70,13,BOLÍVAR,13458,MONTECRISTO,Cultivo permanente,2001,103.11
71,13,BOLÍVAR,13473,MORALES,Cultivo permanente,2001,184.44
72,13,BOLÍVAR,13490,NOROSI,Cultivo permanente,2001,0.0
73,13,BOLÍVAR,13600,RIOVIEJO,Cultivo permanente,2001,194.49
74,13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,Cultivo permanente,2001,0.0
75,13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,Cultivo intermintente,2001,0.0
76,13,BOLÍVAR,13670,SAN PABLO,Cultivo permanente,2001,1189.72
77,13,BOLÍVAR,13688,SANTA ROSA DEL SUR,Cultivo permanente,2001,1907.35
78,13,BOLÍVAR,13744,SIMITÍ,Cultivo permanente,2001,1382.2
79,13,BOLÍVAR,13810,TIQUISIO ,Cultivo permanente,2001,61.54
80,15,BOYACÁ,15212,COPER,Cultivo abandonado,2001,0.0
81,15,BOYACÁ,15223,CUBARÁ,Cultivo abandonado,2001,47.3
82,15,BOYACÁ,15401,LA VICTORIA,Cultivo abandonado,2001,0.0
83,15,BOYACÁ,15442,MARIPÍ,Cultivo abandonado,2001,0.0
84,15,BOYACÁ,15480,MUZO,Cultivo abandonado,2001,0.0
85,15,BOYACÁ,15507,OTANCHE,Cultivo intermintente,2001,6.68
86,15,BOYACÁ,15531,PAUNA,Cultivo abandonado,2001,1.0
87,15,BOYACÁ,15572,PUERTO BOYACÁ,Cultivo permanente,2001,28.51
88,15,BOYACÁ,15580,QUÍPAMA,Cultivo abandonado,2001,0.0
89,15,BOYACÁ,15681,SAN PABLO DE BORBUR,Cultivo abandonado,2001,0.0
90,15,BOYACÁ,15696,SANTA SOFÍA,Cultivo abandonado,2001,0.0
91,15,BOYACÁ,15832,TUNUNGUÁ,Cultivo abandonado,2001,0.0
92,17,CALDAS,17433,MANZANARES,Cultivo abandonado,2001,0.0
93,17,CALDAS,17495,NORCASIA,Cultivo abandonado,2001,0.0
94,17,CALDAS,17541,PENSILVANIA,Cultivo abandonado,2001,0.0
95,17,CALDAS,17662,SAMANÁ,Cultivo abandonado,2001,0.0
96,17,CALDAS,17867,VICTORIA,Cultivo abandonado,2001,0.0
97,18,CAQUETÁ,18029,ALBANIA,Cultivo permanente,2001,180.0
98,18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,Cultivo intermintente,2001,40.0
99,18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,Cultivo permanente,2001,5930.52
100,18,CAQUETÁ,18205,CURILLO,Cultivo permanente,2001,754.1
101,18,CAQUETÁ,18247,EL DONCELLO,Cultivo permanente,2001,41.0
102,18,CAQUETÁ,18256,EL PAUJIL,Cultivo permanente,2001,149.0
103,18,CAQUETÁ,18001,FLORENCIA,Cultivo permanente,2001,0.0
104,18,CAQUETÁ,18460,MILÁN,Cultivo permanente,2001,525.88
105,18,CAQUETÁ,18410,MONTAÑITA,Cultivo permanente,2001,568.63
106,18,CAQUETÁ,18479,MORELIA,Cultivo intermintente,2001,2.0
107,18,CAQUETÁ,18592,PUERTO RICO,Cultivo permanente,2001,118.0
108,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,Cultivo permanente,2001,653.83
109,18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,Cultivo permanente,2001,1193.14
110,18,CAQUETÁ,18756,SOLANO,Cultivo permanente,2001,2039.85
111,18,CAQUETÁ,18785,SOLITA,Cultivo permanente,2001,757.91
112,18,CAQUETÁ,18860,VALPARAÍSO,Cultivo permanente,2001,832.48
113,19,CAUCA,19022,ALMAGUER,Cultivo abandonado,2001,0.0
114,19,CAUCA,19050,ARGELIA,Cultivo permanente,2001,206.34
115,19,CAUCA,19075,BALBOA,Cultivo permanente,2001,19.0
116,19,CAUCA,19100,BOLÍVAR,Cultivo permanente,2001,0.0
117,19,CAUCA,19110,BUENOS AIRES,Cultivo intermintente,2001,0.0
118,19,CAUCA,19130,CAJIBÍO,Cultivo intermintente,2001,30.48
119,19,CAUCA,19137,CALDONO,Cultivo emergente,2001,0.0
120,19,CAUCA,19142,CALOTO,Cultivo intermintente,2001,0.0
121,19,CAUCA,19212,CORINTO,Cultivo intermintente,2001,0.0
122,19,CAUCA,19256,EL TAMBO,Cultivo permanente,2001,1303.03
123,19,CAUCA,19290,FLORENCIA,Cultivo abandonado,2001,0.0
124,19,CAUCA,19318,GUAPI,Cultivo permanente,2001,55.42
125,19,CAUCA,19364,JAMBALÓ,Cultivo emergente,2001,0.0
126,19,CAUCA,19392,LA SIERRA,Cultivo abandonado,2001,0.0
127,19,CAUCA,19397,LA VEGA,Cultivo abandonado,2001,0.0
128,19,CAUCA,19418,LÓPEZ,Cultivo permanente,2001,57.97
129,19,CAUCA,19450,MERCADERES,Cultivo intermintente,2001,0.0
130,19,CAUCA,19455,MIRANDA,Cultivo intermintente,2001,0.0
131,19,CAUCA,19473,MORALES,Cultivo permanente,2001,101.98
132,19,CAUCA,19532,PATÍA  ,Cultivo permanente,2001,0.0
133,19,CAUCA,19533,PIAMONTE,Cultivo permanente,2001,899.15
134,19,CAUCA,19548,PIENDAMÓ,Cultivo emergente,2001,0.0
135,19,CAUCA,19622,ROSAS,Cultivo intermintente,2001,0.0
136,19,CAUCA,19701,SANTA ROSA,Cultivo intermintente,2001,0.0
137,19,CAUCA,19698,SANTANDER DE QUILICHAO,Cultivo emergente,2001,0.0
138,19,CAUCA,19760,SOTARÁ ,Cultivo abandonado,2001,24.0
139,19,CAUCA,19780,SUÁREZ,Cultivo permanente,2001,2.0
140,19,CAUCA,19785,SUCRE,Cultivo permanente,2001,0.0
141,19,CAUCA,19807,TIMBÍO,Cultivo intermintente,2001,40.92
142,19,CAUCA,19809,TIMBIQUÍ,Cultivo permanente,2001,188.68
143,19,CAUCA,19821,TORIBÍO,Cultivo intermintente,2001,0.0
144,20,CESAR,20178,CHIRIGUANÁ,Cultivo abandonado,2001,0.0
145,20,CESAR,20310,GONZÁLEZ,Cultivo permanente,2001,0.0
146,20,CESAR,20517,PAILITAS,Cultivo abandonado,2001,0.0
147,20,CESAR,20710,SAN ALBERTO,Cultivo intermintente,2001,0.0
148,20,CESAR,20770,SAN MARTÍN,Cultivo intermintente,2001,0.0
149,27,CHOCÓ,27006,ACANDÍ,Cultivo permanente,2001,0.0
150,27,CHOCÓ,27025,ALTO BAUDÓ ,Cultivo permanente,2001,0.0
151,27,CHOCÓ,27050,ATRATO ,Cultivo intermintente,2001,0.0
152,27,CHOCÓ,27075,BAHÍA SOLANO ,Cultivo abandonado,2001,0.0
153,27,CHOCÓ,27077,BAJO BAUDÓ  ,Cultivo permanente,2001,0.0
154,27,CHOCÓ,27099,BOJAYÁ ,Cultivo abandonado,2001,0.0
155,27,CHOCÓ,27150,CARMEN DEL DARIÉN  ,Cultivo permanente,2001,0.0
156,27,CHOCÓ,27205,CONDOTO,Cultivo permanente,2001,0.0
157,27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO,Cultivo intermintente,2001,0.0
158,27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,Cultivo permanente,2001,0.0
159,27,CHOCÓ,27361,ISTMINA,Cultivo permanente,2001,0.0
160,27,CHOCÓ,27372,JURADÓ,Cultivo abandonado,2001,0.0
161,27,CHOCÓ,27413,LLORÓ,Cultivo intermintente,2001,0.0
162,27,CHOCÓ,27425,MEDIO ATRATO ,Cultivo abandonado,2001,0.0
163,27,CHOCÓ,27430,MEDIO BAUDÓ ,Cultivo permanente,2001,0.0
164,27,CHOCÓ,27450,MEDIO SAN JUAN ,Cultivo permanente,2001,0.0
165,27,CHOCÓ,27491,NÓVITA,Cultivo permanente,2001,0.0
166,27,CHOCÓ,27495,NUQUÍ,Cultivo abandonado,2001,0.0
167,27,CHOCÓ,27001,QUIBDÓ,Cultivo permanente,2001,0.0
168,27,CHOCÓ,27580,RÍO IRÓ ,Cultivo permanente,2001,0.0
169,27,CHOCÓ,27600,RÍO QUITO ,Cultivo intermintente,2001,0.0
170,27,CHOCÓ,27615,RIOSUCIO,Cultivo permanente,2001,354.0
171,27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,Cultivo permanente,2001,0.0
172,27,CHOCÓ,27745,SIPÍ,Cultivo permanente,2001,0.0
173,27,CHOCÓ,27787,TADÓ,Cultivo abandonado,2001,0.0
174,27,CHOCÓ,27800,UNGUÍA,Cultivo permanente,2001,0.0
175,27,CHOCÓ,27810,UNIÓN PANAMERICANA ,Cultivo abandonado,2001,0.0
176,23,CÓRDOBA,23350,LA APARTADA,Cultivo abandonado,2001,6.56
177,23,CÓRDOBA,23466,MONTELÍBANO,Cultivo permanente,2001,40.55
178,23,CÓRDOBA,23580,PUERTO LIBERTADOR,Cultivo permanente,2001,270.78
179,23,CÓRDOBA,23682,SAN JOSÉ DE URÉ,Cultivo permanente,2001,0.0
180,23,CÓRDOBA,23807,TIERRALTA,Cultivo permanente,2001,322.01
181,23,CÓRDOBA,23855,VALENCIA,Cultivo permanente,2001,0.0
182,25,CUNDINAMARCA,25148,CAPARRAPÍ,Cultivo abandonado,2001,0.0
183,25,CUNDINAMARCA,25518,PAIME,Cultivo abandonado,2001,0.0
184,25,CUNDINAMARCA,25823,TOPAIPÍ,Cultivo abandonado,2001,0.0
185,25,CUNDINAMARCA,25885,YACOPÍ,Cultivo abandonado,2001,1.62
186,94,GUAINÍA,94343,BARRANCO MINA ,Cultivo abandonado,2001,363.81
187,94,GUAINÍA,94001,INIRIDA,Cultivo abandonado,2001,276.0
188,94,GUAINÍA,94663,MAPIRIPANA ,Cultivo abandonado,2001,0.0
189,94,GUAINÍA,94888,MORICHAL  ,Cultivo permanente,2001,221.0
190,94,GUAINÍA,94887,PANÁ PANÁ  ,Cultivo abandonado,2001,68.0
191,94,GUAINÍA,94884,PUERTO COLOMBIA ,Cultivo abandonado,2001,191.0
192,95,GUAVIARE,95015,CALAMAR,Cultivo permanente,2001,4966.03
193,95,GUAVIARE,95025,EL RETORNO,Cultivo permanente,2001,4230.99
194,95,GUAVIARE,95200,MIRAFLORES,Cultivo permanente,2001,11777.05
195,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,Cultivo permanente,2001,3089.5
196,44,LA GUAJIRA,44090,DIBULLA,Cultivo intermintente,2001,193.71
197,44,LA GUAJIRA,44001,RIOHACHA,Cultivo abandonado,2001,0.0
198,47,MAGDALENA,47053,ARACATACA,Cultivo abandonado,2001,0.0
199,47,MAGDALENA,47189,CIÉNAGA,Cultivo abandonado,2001,11.67
200,47,MAGDALENA,47288,FUNDACIÓN,Cultivo abandonado,2001,0.0
201,47,MAGDALENA,47001,SANTA MARTA ,Cultivo permanente,2001,438.58
202,50,META,50350,LA MACARENA,Cultivo permanente,2001,4203.06
203,50,META,50400,LEJANÍAS,Cultivo abandonado,2001,0.0
204,50,META,50325,MAPIRIPÁN,Cultivo permanente,2001,1805.41
205,50,META,50330,MESETAS,Cultivo intermintente,2001,533.66
206,50,META,50450,PUERTO CONCORDIA,Cultivo permanente,2001,147.16
207,50,META,50568,PUERTO GAITÁN,Cultivo abandonado,2001,111.41
208,50,META,50577,PUERTO LLERAS,Cultivo intermintente,2001,45.78
209,50,META,50573,PUERTO LÓPEZ,Cultivo abandonado,2001,0.0
210,50,META,50590,PUERTO RICO,Cultivo permanente,2001,1701.2
211,50,META,50683,SAN JUAN DE ARAMA,Cultivo permanente,2001,35.26
212,50,META,50689,SAN MARTÍN,Cultivo abandonado,2001,0.0
213,50,META,50370,URIBE,Cultivo intermintente,2001,880.21
214,50,META,50711,VISTAHERMOSA,Cultivo permanente,2001,1283.23
215,52,NARIÑO,52036,ANCUYA,Cultivo intermintente,2001,0.0
216,52,NARIÑO,52079,BARBACOAS,Cultivo permanente,2001,713.7
217,52,NARIÑO,52110,BUESACO,Cultivo abandonado,2001,0.0
218,52,NARIÑO,52207,CONSACÁ,Cultivo abandonado,2001,0.0
219,52,NARIÑO,52210,CONTADERO,Cultivo abandonado,2001,2.0
220,52,NARIÑO,52215,CÓRDOBA,Cultivo abandonado,2001,1.0
221,52,NARIÑO,52227,CUMBAL,Cultivo abandonado,2001,0.0
222,52,NARIÑO,52233,CUMBITARA,Cultivo permanente,2001,3.0
223,52,NARIÑO,52250,EL CHARCO,Cultivo permanente,2001,984.49
224,52,NARIÑO,52254,EL PEÑOL,Cultivo permanente,2001,0.0
225,52,NARIÑO,52256,EL ROSARIO,Cultivo permanente,2001,28.23
226,52,NARIÑO,52260,EL TAMBO,Cultivo permanente,2001,0.0
227,52,NARIÑO,52520,FRANCISCO PIZARRO ,Cultivo permanente,2001,37.42
228,52,NARIÑO,52356,IPIALES,Cultivo permanente,2001,1130.45
229,52,NARIÑO,52381,LA FLORIDA,Cultivo intermintente,2001,0.0
230,52,NARIÑO,52385,LA LLANADA,Cultivo permanente,2001,0.0
231,52,NARIÑO,52390,LA TOLA,Cultivo permanente,2001,15.0
232,52,NARIÑO,52405,LEIVA,Cultivo permanente,2001,10.0
233,52,NARIÑO,52411,LINARES,Cultivo permanente,2001,0.0
234,52,NARIÑO,52418,LOS ANDES ,Cultivo permanente,2001,0.0
235,52,NARIÑO,52427,MAGÜÍ ,Cultivo permanente,2001,1693.61
236,52,NARIÑO,52435,MALLAMA ,Cultivo intermintente,2001,0.0
237,52,NARIÑO,52473,MOSQUERA,Cultivo permanente,2001,33.97
238,52,NARIÑO,52490,OLAYA HERRERA ,Cultivo permanente,2001,14.0
239,52,NARIÑO,52540,POLICARPA,Cultivo permanente,2001,15.0
240,52,NARIÑO,52573,PUERRES,Cultivo abandonado,2001,1.0
241,52,NARIÑO,52612,RICAURTE,Cultivo permanente,2001,8.0
242,52,NARIÑO,52621,ROBERTO PAYÁN ,Cultivo permanente,2001,1048.21
243,52,NARIÑO,52678,SAMANIEGO,Cultivo permanente,2001,0.0
244,52,NARIÑO,52693,SAN PABLO,Cultivo abandonado,2001,0.0
245,52,NARIÑO,52683,SANDONÁ,Cultivo intermintente,2001,0.0
246,52,NARIÑO,52696,SANTA BÁRBARA ,Cultivo permanente,2001,232.7
247,52,NARIÑO,52699,SANTA CRUZ ,Cultivo permanente,2001,0.0
248,52,NARIÑO,52835,TUMACO,Cultivo permanente,2001,1421.36
249,54,NORTE DE SANTANDER,54003,ÁBREGO,Cultivo permanente,2001,0.0
250,54,NORTE DE SANTANDER,54109,BUCARASICA,Cultivo intermintente,2001,0.0
251,54,NORTE DE SANTANDER,54128,CÁCHIRA,Cultivo abandonado,2001,0.0
252,54,NORTE DE SANTANDER,54206,CONVENCIÓN,Cultivo permanente,2001,13.41
253,54,NORTE DE SANTANDER,54001,CÚCUTA,Cultivo permanente,2001,34.05
254,54,NORTE DE SANTANDER,54245,EL CARMEN,Cultivo permanente,2001,4.39
255,54,NORTE DE SANTANDER,54250,EL TARRA,Cultivo permanente,2001,589.64
256,54,NORTE DE SANTANDER,54261,EL ZULIA,Cultivo permanente,2001,13.37
257,54,NORTE DE SANTANDER,54344,HACARÍ,Cultivo permanente,2001,21.71
258,54,NORTE DE SANTANDER,54385,LA ESPERANZA,Cultivo intermintente,2001,0.0
259,54,NORTE DE SANTANDER,54398,LA PLAYA,Cultivo intermintente,2001,0.0
260,54,NORTE DE SANTANDER,54418,LOURDES,Cultivo abandonado,2001,0.0
261,54,NORTE DE SANTANDER,54498,OCAÑA,Cultivo permanente,2001,0.0
262,54,NORTE DE SANTANDER,54670,SAN CALIXTO,Cultivo permanente,2001,19.56
263,54,NORTE DE SANTANDER,54720,SARDINATA,Cultivo permanente,2001,586.05
264,54,NORTE DE SANTANDER,54800,TEORAMA,Cultivo permanente,2001,679.19
265,54,NORTE DE SANTANDER,54810,TIBÚ,Cultivo permanente,2001,9677.49
266,54,NORTE DE SANTANDER,54820,TOLEDO,Cultivo abandonado,2001,80.11
267,86,PUTUMAYO,86001,MOCOA,Cultivo permanente,2001,112.0
268,86,PUTUMAYO,86320,ORITO,Cultivo permanente,2001,7629.19
269,86,PUTUMAYO,86568,PUERTO ASÍS,Cultivo permanente,2001,8679.57
270,86,PUTUMAYO,86569,PUERTO CAICEDO,Cultivo permanente,2001,2340.0
271,86,PUTUMAYO,86571,PUERTO GUZMÁN,Cultivo permanente,2001,4184.77
272,86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,Cultivo permanente,2001,3831.27
273,86,PUTUMAYO,86757,SAN MIGUEL ,Cultivo permanente,2001,4041.29
274,86,PUTUMAYO,86760,SANTIAGO,Cultivo abandonado,2001,11.0
275,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ ,Cultivo permanente,2001,9269.25
276,86,PUTUMAYO,86885,VILLAGARZÓN,Cultivo permanente,2001,952.06
277,68,SANTANDER,68020,ALBANIA,Cultivo abandonado,2001,0.0
278,68,SANTANDER,68092,BETULIA,Cultivo abandonado,2001,0.0
279,68,SANTANDER,68101,BOLÍVAR,Cultivo intermintente,2001,92.55
280,68,SANTANDER,68176,CHIMA,Cultivo abandonado,2001,0.0
281,68,SANTANDER,68190,CIMITARRA,Cultivo intermintente,2001,26.89
282,68,SANTANDER,68209,CONFINES,Cultivo abandonado,2001,0.0
283,68,SANTANDER,68211,CONTRATACIÓN,Cultivo abandonado,2001,0.0
284,68,SANTANDER,68235,EL CARMEN,Cultivo intermintente,2001,0.0
285,68,SANTANDER,68250,EL PEÑÓN,Cultivo intermintente,2001,3.0
286,68,SANTANDER,68255,EL PLAYÓN,Cultivo abandonado,2001,0.0
287,68,SANTANDER,68271,FLORIÁN,Cultivo abandonado,2001,0.0
288,68,SANTANDER,68322,GUAPOTÁ,Cultivo abandonado,2001,0.0
289,68,SANTANDER,68324,GUAVATÁ,Cultivo abandonado,2001,0.0
290,68,SANTANDER,68377,LA BELLEZA,Cultivo intermintente,2001,22.06
291,68,SANTANDER,68397,LA PAZ,Cultivo abandonado,2001,0.0
292,68,SANTANDER,68385,LANDÁZURI,Cultivo abandonado,2001,12.65
293,68,SANTANDER,68524,PALMAS DEL SOCORRO,Cultivo abandonado,2001,0.0
294,68,SANTANDER,68573,PUERTO PARRA,Cultivo abandonado,2001,0.0
295,68,SANTANDER,68615,RIONEGRO,Cultivo intermintente,2001,0.0
296,68,SANTANDER,68655,SABANA DE TORRES,Cultivo abandonado,2001,0.0
297,68,SANTANDER,68689,SAN VICENTE DE CHUCURÍ,Cultivo abandonado,2001,0.0
298,68,SANTANDER,68720,SANTA HELENA DEL OPÓN,Cultivo intermintente,2001,0.0
299,68,SANTANDER,68745,SIMACOTA,Cultivo intermintente,2001,0.0
300,68,SANTANDER,68755,SOCORRO,Cultivo abandonado,2001,0.0
301,68,SANTANDER,68773,SUCRE,Cultivo abandonado,2001,3.0
302,68,SANTANDER,68861,VÉLEZ,Cultivo abandonado,2001,0.0
303,76,VALLE DEL CAUCA,76100,BOLÍVAR,Cultivo permanente,2001,0.0
304,76,VALLE DEL CAUCA,76109,BUENAVENTURA,Cultivo permanente,2001,186.35
305,76,VALLE DEL CAUCA,76001,CALI,Cultivo abandonado,2001,0.0
306,76,VALLE DEL CAUCA,76126,CALIMA ,Cultivo permanente,2001,0.0
307,76,VALLE DEL CAUCA,76233,DAGUA,Cultivo permanente,2001,0.0
308,76,VALLE DEL CAUCA,76364,JAMUNDÍ,Cultivo intermintente,2001,0.0
309,76,VALLE DEL CAUCA,76834,TULUÁ,Cultivo intermintente,2001,0.0
310,97,VAUPÉS,97161,CARURÚ,Cultivo permanente,2001,1279.8
311,97,VAUPÉS,97001,MITÚ,Cultivo abandonado,2001,380.52
312,97,VAUPÉS,97511,PACOA ,Cultivo abandonado,2001,36.42
313,97,VAUPÉS,97777,PAPUNAUA ,Cultivo abandonado,2001,73.02
314,97,VAUPÉS,97666,TARAIRA,Cultivo abandonado,2001,0.0
315,97,VAUPÉS,97889,YAVARATÉ ,Cultivo abandonado,2001,1.0
316,99,VICHADA,99773,CUMARIBO,Cultivo permanente,2001,7943.17
317,99,VICHADA,99524,LA PRIMAVERA,Cultivo abandonado,2001,122.7
318,99,VICHADA,99624,SANTA ROSALÍA,Cultivo abandonado,2001,0.0
319,91,AMAZONAS,91263,EL ENCANTO ,Cultivo intermintente,2002,264.0
320,91,AMAZONAS,91405,LA CHORRERA ,Cultivo intermintente,2002,236.0
321,91,AMAZONAS,91407,LA PEDRERA ,Cultivo abandonado,2002,0.0
322,91,AMAZONAS,91430,LA VICTORIA  ,Cultivo abandonado,2002,0.0
323,91,AMAZONAS,91460,MIRITÍ-PARANÁ  ,Cultivo abandonado,2002,43.0
324,91,AMAZONAS,91530,PUERTO ALEGRÍA ,Cultivo permanente,2002,195.0
325,91,AMAZONAS,91536,PUERTO ARICA ,Cultivo abandonado,2002,1.0
326,91,AMAZONAS,91669,SANTANDER  ,Cultivo abandonado,2002,44.0
327,5,ANTIOQUIA,5031,AMALFI,Cultivo permanente,2002,110.0
328,5,ANTIOQUIA,5040,ANORÍ,Cultivo permanente,2002,369.0
329,5,ANTIOQUIA,5045,APARTADÓ,Cultivo permanente,2002,0.0
330,5,ANTIOQUIA,5055,ARGELIA,Cultivo abandonado,2002,0.0
331,5,ANTIOQUIA,5107,BRICEÑO,Cultivo permanente,2002,17.0
332,5,ANTIOQUIA,5120,CÁCERES,Cultivo permanente,2002,116.0
333,5,ANTIOQUIA,5134,CAMPAMENTO,Cultivo permanente,2002,8.0
334,5,ANTIOQUIA,5142,CARACOLÍ,Cultivo abandonado,2002,0.0
335,5,ANTIOQUIA,5147,CAREPA,Cultivo abandonado,2002,0.0
336,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,Cultivo abandonado,2002,0.0
